"source_folder","nome_recomendado","nome_antigo","arquivo_original","arquivo_gif_organizado","gif_encontrado","tag_principal","tags_secundarias","descricao"
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal canivete com halteres e pernas elevadas","Abdominal canivete com halteres e pernas elevadas","Prancha reversa","abdominais/Prancha reversa.gif","abdominal_canivete_com_halteres_e_pernas_elevadas.gif","abdominal_canivete_com_halteres_e_pernas_elevadas.gif","Abdômen/Core","Halteres | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal canivete cruzado","Abdominal canivete cruzado","Não cruze, sente-se","Não cruze, sente-se.gif","abdominal_canivete_cruzado.gif","abdominal_canivete_cruzado.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com bola medicinal","Abdominal com bola medicinal","Abdominal com bola medicinal","Abdominal com bola medicinal.gif","abdominal_com_bola_medicinal.gif","abdominal_com_bola_medicinal.gif","Abdômen/Core","Bola | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com braços acima da cabeça","Abdominal com braços acima da cabeça","Sentado flutter kick - Variação 4","abdominais/Sentado flutter kick - Variação 4.gif","abdominal_com_bracos_acima_da_cabeca.gif","abdominal_com_bracos_acima_da_cabeca.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com braços estendidos","Abdominal com braços estendidos","Flexão de braço longo","Flexão de braço longo.gif","abdominal_com_bracos_estendidos.gif","abdominal_com_bracos_estendidos.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com joelhos ao peito deitado","Abdominal com joelhos ao peito deitado","Puxada de perna em joelhos","Puxada de perna em joelhos.gif","abdominal_com_joelhos_ao_peito_deitado.gif","abdominal_com_joelhos_ao_peito_deitado.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com joelhos na bola suíça","Abdominal com joelhos na bola suíça","Dobra de joelho com bola suíça","Dobra de joelho com bola suíça.gif","abdominal_com_joelhos_na_bola_suica.gif","abdominal_com_joelhos_na_bola_suica.gif","Abdômen/Core","Bola | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com peso","Abdominal com peso","Abdominal com peso","Abdominal com peso.gif","abdominal_com_peso.gif","abdominal_com_peso.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com roda","Abdominal com roda","Abdominal com roda","Abdominal com roda.gif","abdominal_com_roda.gif","abdominal_com_roda.gif","Abdômen/Core","Sem aparelhos | Casa","Ajoelhe-se e apoie as mãos na roda, barra ou bola indicada. Contraia abdômen e glúteos e deslize o apoio para a frente, mantendo o tronco firme e evitando arquear a lombar. Vá até a amplitude que consegue controlar e puxe o apoio de volta para retornar."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal completo","Abdominal completo","Abdominal","Abdominal.gif","abdominal_completo.gif","abdominal_completo.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal cruzado","Abdominal cruzado","Abdominal cruzado","Abdominal cruzado.gif","abdominal_cruzado.gif","abdominal_cruzado.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal declinado","Abdominal declinado","Recusar sentar-se","Recusar sentar-se.gif","abdominal_declinado.gif","abdominal_declinado.gif","Abdômen/Core","Banco | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal em pé na polia","Abdominal em pé na polia","Sentado na polia twist - Variação 5","abdominais/Sentado na polia twist - Variação 5.gif","abdominal_em_pe_na_polia.gif","abdominal_em_pe_na_polia.gif","Abdômen/Core","Polia/Cabo | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal em pé no cabo","Abdominal em pé no cabo","Trituração de cabo em pé","Trituração de cabo em pé.gif","abdominal_em_pe_no_cabo.gif","abdominal_em_pe_no_cabo.gif","Abdômen/Core","Polia/Cabo | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal joelhos ao peito com cabo","Abdominal joelhos ao peito com cabo","Um quarto sentado","abdominais/Um quarto sentado.gif","abdominal_joelhos_ao_peito_com_cabo.gif","abdominal_joelhos_ao_peito_com_cabo.gif","Abdômen/Core","Polia/Cabo | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal lateral na bola suíça","Abdominal lateral na bola suíça","Abdominal - Variação 6","abdominais/Abdominal - Variação 6.gif","abdominal_lateral_na_bola_suica.gif","abdominal_lateral_na_bola_suica.gif","Abdômen/Core","Bola | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal lateral na bola suíça com peso","Abdominal lateral na bola suíça com peso","Flexão lateral com peso na bola suíça","Flexão lateral com peso na bola suíça.gif","abdominal_lateral_na_bola_suica_com_peso.gif","abdominal_lateral_na_bola_suica_com_peso.gif","Abdômen/Core","Bola | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal lateral sentado","Abdominal lateral sentado","Abdominal lateral sentada","Abdominal lateral sentada.gif","abdominal_lateral_sentado.gif","abdominal_lateral_sentado.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal na máquina","Abdominal na máquina","Full abdominal na máquina","abdominais/Full abdominal na máquina.gif","abdominal_na_maquina.gif","abdominal_na_maquina.gif","Abdômen/Core","Máquina | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal na máquina Ab Coaster","Abdominal na máquina Ab Coaster","Abdominal na máquina Ab Coaster","Abdominal na máquina Ab Coaster.gif","abdominal_na_maquina_ab_coaster.gif","abdominal_na_maquina_ab_coaster.gif","Abdômen/Core","Máquina | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal na máquina sentado","Abdominal na máquina sentado","Alavanca de elevação da perna em pé","abdominais/Alavanca de elevação da perna em pé.gif","abdominal_na_maquina_sentado.gif","abdominal_na_maquina_sentado.gif","Abdômen/Core","Máquina | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal na máquina tipo coaster","Abdominal na máquina tipo coaster","Sentado na polia twist - Variação 4","abdominais/Sentado na polia twist - Variação 4.gif","abdominal_na_maquina_tipo_coaster.gif","abdominal_na_maquina_tipo_coaster.gif","Abdômen/Core","Máquina | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal no banco declinado com carga","Abdominal no banco declinado com carga","Lever deitado abdominal - Variação 2","abdominais/Lever deitado abdominal - Variação 2.gif","abdominal_no_banco_declinado_com_carga.gif","abdominal_no_banco_declinado_com_carga.gif","Abdômen/Core","Banco | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal no chão","Abdominal no chão","Trituração do chão","Trituração do chão.gif","abdominal_no_chao.gif","abdominal_no_chao.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal no TRX","Abdominal no TRX","Torção de mina terrestre - Variação 4","abdominais/Torção de mina terrestre - Variação 4.gif","abdominal_no_trx.gif","abdominal_no_trx.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal oblíquo no chão","Abdominal oblíquo no chão","Flexões oblíquas no chão","Flexões oblíquas no chão.gif","abdominal_obliquo_no_chao.gif","abdominal_obliquo_no_chao.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal reverso","Abdominal reverso","Abdominal reverso","Abdominal reverso.gif","abdominal_reverso.gif","abdominal_reverso.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal reverso com bola medicinal","Abdominal reverso com bola medicinal","Crunch com elevação da perna - Variação 2","abdominais/Crunch com elevação da perna - Variação 2.gif","abdominal_reverso_com_bola_medicinal.gif","abdominal_reverso_com_bola_medicinal.gif","Abdômen/Core","Bola | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal reverso com joelhos flexionados","Abdominal reverso com joelhos flexionados","Puxada de perna em joelhos","abdominais/Puxada de perna em joelhos.gif","abdominal_reverso_com_joelhos_flexionados.gif","abdominal_reverso_com_joelhos_flexionados.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal rollout com roda","Abdominal rollout com roda","Twist down up with resistance band","abdominais/Twist down up with resistance band.gif","abdominal_rollout_com_roda.gif","abdominal_rollout_com_roda.gif","Abdômen/Core","Sem aparelhos | Casa","Ajoelhe-se e apoie as mãos na roda, barra ou bola indicada. Contraia abdômen e glúteos e deslize o apoio para a frente, mantendo o tronco firme e evitando arquear a lombar. Vá até a amplitude que consegue controlar e puxe o apoio de volta para retornar."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal sapo","Abdominal sapo","Abdominal de sapo","abdominais/Abdominal de sapo.gif","abdominal_sapo.gif","abdominal_sapo.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal sapo com bola suíça","Abdominal sapo com bola suíça","Exercício bola sapo crunch","Exercício bola sapo crunch.gif","abdominal_sapo_com_bola_suica.gif","abdominal_sapo_com_bola_suica.gif","Abdômen/Core","Bola | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal sentado na máquina","Abdominal sentado na máquina","Sentado ab abdominal na máquina","abdominais/Sentado ab abdominal na máquina.gif","abdominal_sentado_na_maquina.gif","abdominal_sentado_na_maquina.gif","Abdômen/Core","Máquina | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal sentado no banco","Abdominal sentado no banco","Twist with resistance band","abdominais/Twist with resistance band.gif","abdominal_sentado_no_banco.gif","abdominal_sentado_no_banco.gif","Abdômen/Core","Banco | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal sentado no banco com joelhos ao peito","Abdominal sentado no banco com joelhos ao peito","Perna sentada no banco puxada para dentro","Perna sentada no banco puxada para dentro.gif","abdominal_sentado_no_banco_com_joelhos_ao_peito.gif","abdominal_sentado_no_banco_com_joelhos_ao_peito.gif","Abdômen/Core","Banco | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal tocando os pés","Abdominal tocando os pés","Abdominal de bicicleta","abdominais/Abdominal de bicicleta.gif","abdominal_tocando_os_pes.gif","abdominal_tocando_os_pes.gif","Abdômen/Core","Sem aparelhos | Casa","Deite-se de costas e mantenha as pernas elevadas. Contraia o abdômen para elevar os ombros e alcance os pés com as mãos, sem puxar o pescoço. Desça o tronco de forma controlada e repita mantendo as pernas estáveis."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal tradicional","Abdominal tradicional","Abdominais","Abdominais.gif","abdominal_tradicional.gif","abdominal_tradicional.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal um quarto","Abdominal um quarto","Um quarto sentado","Um quarto sentado.gif","abdominal_um_quarto.gif","abdominal_um_quarto.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal V-up","Abdominal V-up","Dobra crocante","abdominais/Dobra crocante.gif","abdominal_v_up.gif","abdominal_v_up.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal V-up com bola suíça","Abdominal V-up com bola suíça","Bola suíça v up","Bola suíça v up.gif","abdominal_v_up_com_bola_suica.gif","abdominal_v_up_com_bola_suica.gif","Abdômen/Core","Bola | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal V-up com halteres","Abdominal V-up com halteres","Haltere v para cima","Haltere v para cima.gif","abdominal_v_up_com_halteres.gif","abdominal_v_up_com_halteres.gif","Abdômen/Core","Halteres | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril deitado com elástico","Abdução de quadril deitado com elástico","Crucifixo da coxa com elástico","Crucifixo da coxa com elástico.gif","abducao_de_quadril_deitado_com_elastico.gif","abducao_de_quadril_deitado_com_elastico.gif","Glúteos","Elástico | Quadril | Academia","Estabilize o tronco e a pelve antes de mover a perna. Execute a extensão ou abertura do quadril mostrada sem girar o corpo para ganhar amplitude. Contraia o glúteo no final e retorne lentamente."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril deitado com elástico - variação 2","Abdução de quadril deitado com elástico - variação 2","Levantamento de perna deitado lateralmente","Levantamento de perna deitado lateralmente.gif","abducao_de_quadril_deitado_com_elastico_variacao_2.gif","abducao_de_quadril_deitado_com_elastico_variacao_2.gif","Glúteos","Elástico | Quadril | Academia","Estabilize o tronco e a pelve antes de mover a perna. Execute a extensão ou abertura do quadril mostrada sem girar o corpo para ganhar amplitude. Contraia o glúteo no final e retorne lentamente."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em concha","Abdução de quadril em concha","Abdução de quadril em concha","Abdução de quadril em concha.gif","abducao_de_quadril_em_concha.gif","abducao_de_quadril_em_concha.gif","Glúteos","Quadril | Sem aparelhos | Casa","Estabilize o tronco e a pelve antes de mover a perna. Execute a extensão ou abertura do quadril mostrada sem girar o corpo para ganhar amplitude. Contraia o glúteo no final e retorne lentamente."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em concha com elástico","Abdução de quadril em concha com elástico","Abdução de quadril em concha com elástico","Abdução de quadril em concha com elástico.gif","abducao_de_quadril_em_concha_com_elastico.gif","abducao_de_quadril_em_concha_com_elastico.gif","Glúteos","Elástico | Quadril | Academia","Estabilize o tronco e a pelve antes de mover a perna. Execute a extensão ou abertura do quadril mostrada sem girar o corpo para ganhar amplitude. Contraia o glúteo no final e retorne lentamente."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em pé","Abdução de quadril em pé","Abdução de quadril em pé","Abdução de quadril em pé.gif","abducao_de_quadril_em_pe.gif","abducao_de_quadril_em_pe.gif","Glúteos","Quadril | Sem aparelhos | Casa","Estabilize o tronco e a pelve antes de mover a perna. Execute a extensão ou abertura do quadril mostrada sem girar o corpo para ganhar amplitude. Contraia o glúteo no final e retorne lentamente."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em pé com elástico","Abdução de quadril em pé com elástico","Abdução de quadril em pé - Variação 2","glúteos-/Abdução de quadril em pé - Variação 2.gif","abducao_de_quadril_em_pe_com_elastico.gif","abducao_de_quadril_em_pe_com_elastico.gif","Glúteos","Elástico | Casa","Coloque o elástico na posição mostrada e mantenha o tronco estável. Afaste a perna lateralmente contra a resistência sem inclinar o corpo. Retorne lentamente e mantenha o pé e o joelho apontados para a frente."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em pé na máquina","Abdução de quadril em pé na máquina","Abdução do quadril no lado na máquina","Abdução do quadril no lado na máquina.gif","abducao_de_quadril_em_pe_na_maquina.gif","abducao_de_quadril_em_pe_na_maquina.gif","Glúteos","Máquina | Quadril | Academia","Estabilize o tronco e a pelve antes de mover a perna. Execute a extensão ou abertura do quadril mostrada sem girar o corpo para ganhar amplitude. Contraia o glúteo no final e retorne lentamente."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em pé na polia","Abdução de quadril em pé na polia","Corrida - Variação 2","perna/Corrida - Variação 2.gif","abducao_de_quadril_em_pe_na_polia.gif","abducao_de_quadril_em_pe_na_polia.gif","Abdutores","Glúteos | Polia/Cabo | Academia","Fique em pé ao lado da polia com a tornozeleira presa à perna de trabalho e segure um apoio. Leve a perna lateralmente para longe do corpo sem inclinar o tronco. Retorne devagar até a posição inicial mantendo a pelve estável."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril na máquina","Abdução de quadril na máquina","Máquina de abdução de quadril","Máquina de abdução de quadril.gif","abducao_de_quadril_na_maquina.gif","abducao_de_quadril_na_maquina.gif","Glúteos","Máquina | Quadril | Academia","Estabilize o tronco e a pelve antes de mover a perna. Execute a extensão ou abertura do quadril mostrada sem girar o corpo para ganhar amplitude. Contraia o glúteo no final e retorne lentamente."
